age,job,marital,education,balance,housing,loan,campaign,previous,poutcome,deposit
31,management,single,tertiary,-160,yes,no,2,0,unknown,no
31,admin.,married,secondary,89,no,no,3,0,unknown,no
25,management,single,tertiary,493,yes,no,1,0,unknown,no
39,entrepreneur,married,tertiary,2644,yes,no,1,0,unknown,no
30,management,single,tertiary,596,no,no,2,0,unknown,no
60,management,married,secondary,0,no,no,4,8,failure,no
48,technician,married,secondary,606,yes,no,4,0,unknown,no
30,entrepreneur,married,secondary,-346,yes,yes,1,0,unknown,no
43,services,single,secondary,550,yes,no,2,0,unknown,no
44,technician,single,primary,237,yes,no,1,0,unknown,no
29,blue-collar,single,secondary,415,no,yes,1,0,unknown,no
46,unemployed,married,secondary,-125,yes,no,1,0,unknown,no
28,blue-collar,single,tertiary,1984,yes,no,2,1,failure,no
34,entrepreneur,married,tertiary,121,yes,no,6,0,unknown,no
42,management,divorced,tertiary,266,no,yes,1,0,unknown,no
59,retired,married,secondary,1723,no,no,1,0,unknown,no
27,blue-collar,single,secondary,1049,no,no,3,0,unknown,no
36,blue-collar,married,primary,21,no,no,1,0,unknown,no
34,blue-collar,single,secondary,341,yes,no,1,0,unknown,no
30,management,married,tertiary,233,yes,no,10,0,unknown,no
50,technician,married,tertiary,247,no,no,1,0,unknown,no
50,technician,married,tertiary,3117,no,no,2,1,failure,no
45,entrepreneur,married,secondary,242,no,yes,1,4,failure,no
40,blue-collar,single,unknown,24,yes,no,1,0,unknown,no
49,management,married,tertiary,7007,no,no,2,0,unknown,no
54,retired,married,secondary,1851,no,no,3,0,unknown,no
31,blue-collar,single,secondary,573,yes,no,1,2,failure,no
35,self-employed,married,tertiary,1178,yes,yes,2,5,failure,no
34,blue-collar,married,tertiary,748,yes,yes,1,0,unknown,no
48,admin.,divorced,secondary,-407,yes,no,2,1,failure,no
51,blue-collar,married,secondary,4695,no,no,10,0,unknown,no
47,unemployed,single,tertiary,2500,no,no,1,0,unknown,no
45,retired,single,secondary,86,no,no,5,0,unknown,no
33,management,married,tertiary,968,no,yes,10,0,unknown,no
33,services,single,secondary,192,no,no,1,0,unknown,no
27,unemployed,single,primary,93,no,no,1,0,unknown,no
47,technician,married,secondary,0,yes,no,1,0,unknown,no
54,self-employed,divorced,tertiary,0,yes,yes,3,0,unknown,no
37,management,married,tertiary,-491,yes,no,2,0,unknown,no
43,unknown,married,unknown,1517,no,no,1,0,unknown,no
49,management,married,tertiary,0,yes,no,1,0,unknown,no
43,unemployed,married,secondary,775,no,no,1,1,failure,no
27,admin.,single,secondary,276,yes,no,2,0,unknown,no
44,services,married,secondary,5781,yes,yes,1,0,unknown,no
37,management,divorced,tertiary,0,yes,no,6,0,unknown,no
50,services,married,secondary,901,yes,no,6,0,unknown,no
50,entrepreneur,married,primary,431,yes,no,5,0,unknown,no
52,services,married,primary,911,no,no,2,0,unknown,no
26,admin.,single,secondary,96,no,no,1,1,failure,no
35,technician,married,secondary,0,yes,yes,1,0,unknown,no
47,services,divorced,secondary,-288,yes,no,7,0,unknown,no
55,services,divorced,primary,2923,yes,no,2,0,unknown,no
26,blue-collar,single,primary,16,no,yes,2,0,unknown,no
37,self-employed,married,secondary,744,yes,yes,3,0,unknown,no
56,blue-collar,married,primary,551,no,no,1,0,unknown,no
33,management,married,tertiary,322,yes,no,3,0,unknown,no
36,blue-collar,married,secondary,199,yes,no,1,0,unknown,no
32,management,single,tertiary,0,no,no,2,0,unknown,no
30,technician,single,tertiary,0,no,no,6,0,unknown,no
39,management,single,tertiary,633,no,no,2,3,failure,no
28,management,single,tertiary,203,no,no,2,0,unknown,no
36,self-employed,single,tertiary,583,no,no,1,1,other,no
39,admin.,single,secondary,2749,yes,no,1,0,unknown,no
48,management,divorced,secondary,769,no,yes,2,15,other,no
34,blue-collar,married,secondary,1924,yes,yes,2,1,failure,no
50,blue-collar,married,primary,1064,yes,no,2,0,unknown,no
26,admin.,single,secondary,1099,no,no,2,13,other,no
35,entrepreneur,married,secondary,2971,no,no,2,0,unknown,no
44,blue-collar,married,primary,2657,yes,no,2,0,unknown,no
47,management,married,secondary,21,yes,no,2,0,unknown,no
62,management,married,tertiary,0,no,no,3,3,failure,no
55,management,single,tertiary,0,no,no,3,3,failure,no
26,management,single,tertiary,9447,no,no,1,2,other,no
88,retired,married,secondary,433,no,no,1,1,failure,no
28,technician,single,tertiary,375,yes,no,1,1,other,no
41,services,married,secondary,2399,yes,no,2,2,failure,no
25,technician,single,tertiary,148,no,no,1,0,unknown,no
40,entrepreneur,divorced,tertiary,224,no,no,1,0,unknown,no
35,blue-collar,married,primary,147,yes,no,1,3,failure,no
65,retired,divorced,secondary,744,no,no,1,0,unknown,no
40,self-employed,single,tertiary,-94,yes,no,1,0,unknown,no
43,management,divorced,tertiary,9,yes,no,5,1,failure,no
29,management,single,tertiary,1218,no,no,2,0,unknown,no
48,management,single,secondary,1106,no,yes,1,0,unknown,no
35,blue-collar,married,secondary,0,yes,no,1,0,unknown,no
30,technician,single,secondary,167,no,no,1,0,unknown,no
32,management,single,tertiary,0,yes,no,2,0,unknown,no
30,student,married,tertiary,324,no,no,4,0,unknown,no
30,admin.,single,secondary,127,yes,no,6,1,other,no
24,admin.,married,secondary,230,yes,no,1,0,unknown,no
29,technician,married,secondary,344,yes,yes,2,0,unknown,no
44,management,married,tertiary,105,yes,no,2,0,unknown,no
42,blue-collar,married,secondary,634,yes,no,2,0,unknown,no
45,housemaid,married,primary,317,yes,no,2,0,unknown,no
57,housemaid,married,primary,2234,no,no,5,0,unknown,no
36,blue-collar,married,primary,223,yes,no,3,0,unknown,no
49,technician,married,primary,230,yes,no,1,0,unknown,no
30,technician,single,tertiary,0,no,no,2,0,unknown,no
48,management,divorced,tertiary,313,no,no,1,0,unknown,no
32,services,married,secondary,289,yes,no,1,2,failure,no
35,technician,married,secondary,0,yes,no,1,0,unknown,no
40,entrepreneur,married,primary,3676,yes,yes,1,0,unknown,no
32,housemaid,married,primary,-184,yes,no,2,1,failure,no
37,admin.,single,tertiary,3954,yes,no,1,2,failure,no
37,management,married,tertiary,2951,no,no,3,0,unknown,no
43,management,married,tertiary,78,yes,no,1,1,other,no
48,technician,married,secondary,1526,no,no,2,0,unknown,no
36,technician,married,secondary,0,yes,no,5,0,unknown,no
33,unemployed,single,secondary,233,yes,no,4,0,unknown,no
33,management,married,secondary,67,yes,yes,4,0,unknown,no
36,services,single,primary,38,no,no,4,0,unknown,no
65,retired,married,tertiary,1948,no,no,2,0,unknown,no
50,housemaid,married,primary,5296,no,no,7,0,unknown,no
34,management,single,tertiary,612,no,no,1,0,unknown,no
35,entrepreneur,married,secondary,4872,yes,no,3,0,unknown,no
32,management,single,tertiary,131,yes,no,1,1,other,no
34,technician,single,secondary,4943,yes,yes,2,0,unknown,no
34,blue-collar,married,secondary,-257,yes,no,1,4,failure,no
33,blue-collar,married,primary,331,yes,no,3,0,unknown,no
45,blue-collar,married,secondary,105,yes,yes,1,0,unknown,no
35,blue-collar,married,secondary,1160,no,yes,1,0,unknown,no
53,technician,married,secondary,4930,no,yes,2,0,unknown,no
39,services,divorced,primary,471,yes,no,2,0,unknown,no
38,blue-collar,married,secondary,35,yes,no,2,0,unknown,no
35,management,single,tertiary,1750,yes,no,1,4,success,no
52,blue-collar,married,secondary,5275,no,yes,3,0,unknown,no
30,technician,single,secondary,728,yes,no,1,1,other,no
37,self-employed,married,tertiary,0,no,no,1,0,unknown,no
33,self-employed,married,tertiary,263,no,no,4,3,failure,no
52,management,married,tertiary,601,yes,no,2,0,unknown,no
29,admin.,married,secondary,6429,yes,yes,1,2,failure,no
28,admin.,single,secondary,1076,yes,no,5,0,unknown,no
37,blue-collar,married,secondary,-57,yes,yes,5,0,unknown,no
33,admin.,single,tertiary,2,no,no,2,0,unknown,no
32,technician,married,tertiary,514,yes,no,2,0,unknown,no
25,blue-collar,single,secondary,-375,yes,no,2,0,unknown,no
37,technician,married,secondary,28,no,no,2,0,unknown,no
34,management,single,tertiary,404,yes,no,6,0,unknown,no
40,unemployed,married,secondary,3430,yes,no,3,0,unknown,no
40,management,married,secondary,99,no,no,5,0,unknown,no
38,services,married,secondary,2669,yes,no,2,0,unknown,no
